Wahlkreis,swing_BSW,swing_AfD,swing_FDP,swing_Die Linke,swing_SPD,swing_CDU,swing_GRÜNE,swing_CSU,swing_FREIE WÄHLER
162,-3.4882119705320607,6.345620635034199,1.1852411170761443,4.146089799202484,2.50654771405668,-2.9655030793262234,0.5412293098432291,0.0,-2.0783844734317825
163,-4.137794676897698,7.257760722924564,1.2175999178960877,3.8787009537063417,1.9869482315595615,-3.2276544976688384,0.4461541904354997,0.0,-1.4680096982801816
164,-4.678915289940099,5.350786888433316,0.8025984590956354,5.017288201653162,2.4472654141957215,-1.74366573913956,0.4297184197920677,0.0,-1.1515719904900494
165,-4.496045965655543,6.5279368398216775,0.9044644526883013,4.245022718529095,2.2755055575900194,-2.981193659396597,0.5023370925976389,0.0,-0.5124094851593562
166,-0.0510896453935157,5.151954177734884,-0.872585785593998,4.663150584376344,1.1357075325546822,-2.443385856343956,-0.0044507437829526255,0.0,-0.8670701837534699
167,-0.11489168845904395,3.7128487321617523,-1.0157784804772867,8.326561054479251,2.2780456564845935,-0.5662889660137306,-0.45535981830300964,0.0,-0.4001347870717315
168,-0.23207792531321164,4.652040010321162,-0.9821753771739041,4.955545941137435,1.5158527860012958,-1.5197225418739424,0.0016674735028915201,0.0,-0.9310518019430698
169,-0.1218093734129267,4.87559856588062,-1.1029089748961305,4.798472976202883,1.7342054321459233,-1.8690494637406276,-0.2237637312209595,0.0,-1.2569270540211444
170,-0.07064786282108132,3.9974431149529543,-1.241419874802289,6.632832576922859,2.268081750153085,-1.8129223555570495,-0.09236452704619859,0.0,-0.8873383728066119
171,0.12009823150303432,4.7642920629745396,-1.0454424166623832,5.069097857771705,1.2151145665036156,-1.6852705019921081,0.22773512502224436,0.0,-0.6787135579274426
172,-0.30923365449427664,4.581157432378097,-0.6706658248512444,6.073974969670653,2.013328044687181,-1.7625456363024299,0.18017047901365124,0.0,-0.8001929379858984
173,-0.3382182276731967,4.864057754846581,-0.6567485716877818,4.663047031519566,1.7826205016317747,-2.0617533817024523,0.014274834926883001,0.0,-0.7389320335428132
174,-0.4281996026874118,5.503592929576024,-0.5960727056210351,4.32866113804025,1.3225969082615376,-2.3172854303635932,0.029134048860506037,0.0,-1.1594444155396153
175,-0.07159892255861519,4.388060425859658,-1.411674585735702,4.717716381315563,2.1942306456546534,-1.4698761513815457,-0.3630320857375116,0.0,-0.893423975950859
176,-0.2716223831212524,4.136201332649897,-1.3315876627057661,5.322133931978025,2.1189067480028405,-0.8624009562040804,0.05129768186799302,0.0,-0.8069456382273124
177,-0.01946664575435778,3.9488799649297093,-1.7438440467030871,4.92449110876264,2.179581352671382,-1.0544532570170129,0.32799799975710714,0.0,-0.7059807856601026
178,0.5468505420509597,3.400424176011626,-2.1750855412128134,8.20983130167306,2.570247339375633,-0.0916377702302746,-0.49926190134594434,0.0,-0.5039734678007907
179,0.0336199178768417,4.443356173869482,-1.2683339756011116,5.964620694556294,1.6469017515065758,-1.4654697966531303,-0.3866423880978986,0.0,-0.6226340986743489
